Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,366000.000000,370500.000000,360500.000000,363000.000000,362517.562500,507361
2021-05-04,366000.000000,367000.000000,360500.000000,364500.000000,364015.562500,398383
2021-05-06,360500.000000,364500.000000,359500.000000,361500.000000,361019.562500,632873
2021-05-07,360500.000000,364000.000000,360000.000000,361000.000000,360520.218750,446152
2021-05-10,362500.000000,364000.000000,360000.000000,362000.000000,361518.906250,572111
2021-05-11,356500.000000,358000.000000,347500.000000,349000.000000,348536.187500,2373361
2021-05-12,349500.000000,350500.000000,340500.000000,343000.000000,342544.156250,1120816
2021-05-13,337500.000000,341500.000000,334500.000000,337500.000000,337051.468750,992326
2021-05-14,338000.000000,344500.000000,337500.000000,342500.000000,342044.812500,460390
2021-05-17,345500.000000,349000.000000,341000.000000,344000.000000,343542.812500,453316
2021-05-18,347000.000000,349500.000000,345000.000000,349500.000000,349035.500000,445015
2021-05-20,351500.000000,355000.000000,348500.000000,351000.000000,350533.531250,561151
2021-05-21,355000.000000,360000.000000,353500.000000,360000.000000,359521.562500,618431
2021-05-24,356500.000000,358500.000000,353000.000000,355500.000000,355027.531250,361765
2021-05-25,355500.000000,358000.000000,352500.000000,358000.000000,357524.218750,433413
2021-05-26,359500.000000,366500.000000,359500.000000,363000.000000,362517.562500,543316
2021-05-27,363000.000000,363500.000000,353500.000000,358000.000000,357524.218750,963669
2021-05-28,361500.000000,361500.000000,355500.000000,358000.000000,357524.218750,439112
2021-05-31,359500.000000,364000.000000,357000.000000,362500.000000,362018.250000,397118
2021-06-01,362500.000000,368500.000000,362500.000000,367000.000000,366512.250000,404110
2021-06-02,367000.000000,369000.000000,362000.000000,363000.000000,362517.562500,397044
2021-06-03,362500.000000,365000.000000,361000.000000,362000.000000,361518.906250,292257
2021-06-04,360500.000000,360500.000000,355000.000000,357000.000000,356525.531250,433146
2021-06-07,358500.000000,364000.000000,357000.000000,362500.000000,362018.250000,393697
